Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.05     0.05  1358626     0.00     0.00  compare_val
 13.33      0.07     0.02   327268     0.00     0.00  caml_oldify_one
  6.67      0.08     0.01  4036159     0.00     0.00  caml_page_table_lookup
  6.67      0.09     0.01  1949122     0.00     0.00  camlLiteral__id_of_literal_1042
  6.67      0.10     0.01   299827     0.00     0.00  caml_alloc_shr
  6.67      0.11     0.01    47231     0.00     0.00  camlLexing__engine_1041
  6.67      0.12     0.01    26048     0.00     0.00  caml_initialize
  6.67      0.13     0.01    22530     0.00     0.00  parse_intnat
  6.67      0.14     0.01       39     0.26     0.81  caml_oldify_mopup
  6.67      0.15     0.01       15     0.67     0.75  mark_slice
  0.00      0.15     0.00  1336097     0.00     0.00  caml_equal
  0.00      0.15     0.00  1131365     0.00     0.00  caml_modify
  0.00      0.15     0.00  1064034     0.00     0.00  camlLiteral__neg_1039
  0.00      0.15     0.00   423968     0.00     0.00  camlFormula_wl__aux_1094
  0.00      0.15     0.00   423968     0.00     0.00  camlFormula_wl__find_1089
  0.00      0.15     0.00   423968     0.00     0.00  camlFormula_wl__update_1098
  0.00      0.15     0.00   299830     0.00     0.00  caml_fl_allocate
  0.00      0.15     0.00   299827     0.00     0.00  allocate_block
  0.00      0.15     0.00   181418     0.00     0.00  caml_fl_merge_block
  0.00      0.15     0.00    47231     0.00     0.00  caml_lex_engine
  0.00      0.15     0.00    47117     0.00     0.00  caml_parse_engine
  0.00      0.15     0.00    47113     0.00     0.00  camlLexer____ocaml_lex_main_rec_1010
  0.00      0.15     0.00    47113     0.00     0.00  camlLexer__main_1009
  0.00      0.15     0.00    47112     0.00     0.00  parse_digit
  0.00      0.15     0.00    45060     0.00     0.00  camlParsing__peek_val_1093
  0.00      0.15     0.00    22725     0.00     0.00  caml_blit_string
  0.00      0.15     0.00    22538     0.00     0.00  caml_alloc_string
  0.00      0.15     0.00    22533     0.00     0.00  caml_create_string
  0.00      0.15     0.00    22533     0.00     0.00  caml_string_length
  0.00      0.15     0.00    22530     0.00     0.00  camlLexing__sub_lexeme_1077
  0.00      0.15     0.00    22530     0.00     0.00  caml_int_of_string
  0.00      0.15     0.00    22530     0.00     0.00  parse_sign_and_base
  0.00      0.15     0.00    22529     0.00     0.00  camlPervasives__max_1020
  0.00      0.15     0.00    22529     0.00     0.00  caml_greaterequal
  0.00      0.15     0.00    20490     0.00     0.00  camlLiteral__make_1011
  0.00      0.15     0.00    20480     0.00     0.00  camlChecker__fun_1048
  0.00      0.15     0.00    20480     0.00     0.00  camlFormula_wl__fun_1213
  0.00      0.15     0.00    20480     0.00     0.00  camlParser__fun_1058
  0.00      0.15     0.00    16733     0.00     0.00  caml_darken
  0.00      0.15     0.00     5253     0.00     0.00  caml_apply2
  0.00      0.15     0.00     4092     0.00     0.00  caml_tuplify4
  0.00      0.15     0.00     2048     0.00     0.00  camlChecker__fun_1042
  0.00      0.15     0.00     2048     0.00     0.00  camlChecker__max1_1015
  0.00      0.15     0.00     2048     0.00     0.00  camlFormula_wl__fun_1207
  0.00      0.15     0.00     2048     0.00     0.00  camlList__iter_1061
  0.00      0.15     0.00     2048     0.00     0.00  camlList__map_1040
  0.00      0.15     0.00     2048     0.00     0.00  camlParser__fun_1054
  0.00      0.15     0.00     2048     0.00     0.00  camlParser__fun_1056
  0.00      0.15     0.00     1538     0.00     0.00  camlList__rev_append_1029
  0.00      0.15     0.00     1536     0.00     0.00  caml_page_table_modify
  0.00      0.15     0.00     1535     0.00     0.00  camlFormula_wl__isFalse_1112
  0.00      0.15     0.00     1535     0.00     0.04  camlList__find_1202
  0.00      0.15     0.00     1535     0.00     0.00  camlList__find_all_1200
  0.00      0.15     0.00     1535     0.00     0.00  camlList__fun_1439
  0.00      0.15     0.00     1534     0.00     0.00  camlFormula_wl__forgetLiteral_1106
  0.00      0.15     0.00     1534     0.00     0.00  camlFormula_wl__remove_1082
  0.00      0.15     0.00     1534     0.00     0.04  camlFormula_wl__setLiteral_1076
  0.00      0.15     0.00     1534     0.00     0.00  camlStack__pop_1019
  0.00      0.15     0.00     1023     0.00     0.00  camlFormula_wl__getPureLiteral_1123
  0.00      0.15     0.00     1023     0.00     0.00  camlFormula_wl__getUnitClause_1114
  0.00      0.15     0.00      512     0.00     0.04  camlDpll__unstack_1050
  0.00      0.15     0.00      511     0.00     0.00  camlFormula_wl__getFreeLiteral_1132
  0.00      0.15     0.00      392     0.00     0.00  caml_gc_message
  0.00      0.15     0.00      195     0.00     0.00  camlString__blit_1034
  0.00      0.15     0.00      118     0.00     0.00  camlLexing__fun_1126
  0.00      0.15     0.00      118     0.00     0.00  camlLexing__fun_1130
  0.00      0.15     0.00      118     0.00     0.00  camlLexing__lex_refill_1051
  0.00      0.15     0.00      118     0.00     0.00  camlPervasives__input_1207
  0.00      0.15     0.00      118     0.00     0.00  caml_ml_input
  0.00      0.15     0.00       99     0.00     0.00  caml_iterate_global_roots
  0.00      0.15     0.00       78     0.00     0.51  caml_empty_minor_heap
  0.00      0.15     0.00       78     0.00     0.00  caml_final_empty_young
  0.00      0.15     0.00       55     0.00     0.00  caml_process_pending_signals
  0.00      0.15     0.00       39     0.00     0.00  caml_check_urgent_gc
  0.00      0.15     0.00       39     0.00     0.00  caml_final_do_calls
  0.00      0.15     0.00       39     0.00     0.00  caml_final_do_young_roots
  0.00      0.15     0.00       39     0.00     1.31  caml_garbage_collection
  0.00      0.15     0.00       39     0.00     0.29  caml_major_collection_slice
  0.00      0.15     0.00       39     0.00     1.31  caml_minor_collection
  0.00      0.15     0.00       39     0.00     0.00  caml_oldify_local_roots
  0.00      0.15     0.00       39     0.00     0.00  caml_scan_global_young_roots
  0.00      0.15     0.00       39     0.00     0.00  caml_stat_alloc
  0.00      0.15     0.00       30     0.00     0.00  caml_page_table_add
  0.00      0.15     0.00       29     0.00     0.34  caml_make_vect
  0.00      0.15     0.00       25     0.00     0.00  caml_register_frametable
  0.00      0.15     0.00       24     0.00     0.00  sweep_slice
  0.00      0.15     0.00       20     0.00     0.00  camlArray__blit_1048
  0.00      0.15     0.00       20     0.00     0.00  caml_array_blit
